instancia,num,valor_otimo,seed_42,seed_101,seed_202,seed_303,seed_404,seed_505,seed_606,seed_707,seed_808,seed_909,seed_1001,seed_1707,seed_1905,seed_1936,seed_1969,seed_1618,melhor_valor,erro
heskia,11,169.0,413.0,450.0,450.0,346.0,227.0,347.0,178.0,,,,,,,,,,178.0,9.0
roszieg,11,30.0,48.0,90.0,90.0,48.0,43.0,98.0,34.0,38.0,,,,,,,,,34.0,4.0
tonge,11,110.0,190.0,420.0,1678.0,218.0,,,,,,,,,,,,,190.0,80.0
wee-mag,11,29.0,74.0,185.0,217.0,206.0,,,,,,,,,,,,,74.0,45.0
heskia,12,107.0,118.0,418.0,395.0,207.0,145.0,672.0,172.0,216.0,,,,,,,,,118.0,11.0
roszieg,12,27.0,62.0,66.0,87.0,48.0,64.0,87.0,35.0,,,,,,,,,,35.0,8.0
tonge,12,108.0,285.0,461.0,1933.0,267.0,,,,,,,,,,,,,267.0,159.0
wee-mag,12,30.0,128.0,139.0,264.0,200.0,,,,,,,,,,,,,128.0,98.0
heskia,1,94.0,141.0,540.0,420.0,141.0,156.0,228.0,156.0,166.0,,,,,,,,,141.0,47.0
roszieg,1,20.0,43.0,21.0,64.0,43.0,20.0,71.0,35.0,,,,,,,,,,20.0,0.0
tonge,1,87.0,317.0,223.0,479.0,176.0,,,,,,,,,,,,,176.0,89.0
wee-mag,1,25.0,153.0,171.0,144.0,189.0,,,,,,,,,,,,,144.0,119.0
heskia,2,95.0,124.0,153.0,153.0,139.0,108.0,131.0,198.0,,,,,,,,,,108.0,13.0
roszieg,2,22.0,23.0,65.0,65.0,118.0,30.0,68.0,30.0,40.0,,,,,,,,,23.0,1.0
tonge,2,87.0,228.0,582.0,509.0,384.0,,,,,,,,,,,,,228.0,141.0
wee-mag,2,26.0,76.0,196.0,250.0,181.0,,,,,,,,,,,,,76.0,50.0
heskia,41,35.0,91.0,157.0,262.0,92.0,146.0,112.0,154.0,172.0,,,,,,,,,91.0,56.0
roszieg,41,10.0,20.0,23.0,34.0,30.0,22.0,22.0,23.0,23.0,,,,,,,,,20.0,10.0
tonge,41,28.0,192.0,246.0,444.0,371.0,,,,,,,,,,,,,192.0,164.0
wee-mag,41,8.0,72.0,228.0,316.0,218.0,,,,,,,,,,,,,72.0,64.0
heskia,42,40.0,69.0,157.0,80.0,121.0,141.0,221.0,75.0,,,,,,,,,,69.0,29.0
roszieg,42,10.0,28.0,28.0,34.0,28.0,28.0,33.0,32.0,37.0,,,,,,,,,28.0,18.0
tonge,42,32.0,452.0,966.0,180.0,550.0,,,,,,,,,,,,,180.0,148.0
wee-mag,42,8.0,128.0,206.0,309.0,336.0,,,,,,,,,,,,,128.0,120.0
heskia,51,51.0,65.0,135.0,236.0,131.0,110.0,477.0,116.0,100.0,,,,,,,,,65.0,14.0
roszieg,51,11.0,18.0,95.0,19.0,25.0,14.0,92.0,35.0,34.0,,,,,,,,,14.0,3.0
tonge,51,35.0,103.0,386.0,181.0,1539.0,,,,,,,,,,,,,103.0,68.0
wee-mag,51,10.0,102.0,105.0,258.0,214.0,,,,,,,,,,,,,102.0,92.0
heskia,52,50.0,110.0,188.0,224.0,102.0,152.0,272.0,121.0,,,,,,,,,,102.0,52.0
roszieg,52,10.0,53.0,91.0,79.0,13.0,25.0,71.0,14.0,24.0,,27.0,,,,,,,13.0,3.0
tonge,52,43.0,230.0,244.0,143.0,1024.0,,,,,,,,,,,,,143.0,100.0
wee-mag,52,9.0,59.0,135.0,122.0,130.0,,,,,,,,,,,,,59.0,50.0
heskia,61,66.0,77.0,150.0,504.0,283.0,346.0,561.0,192.0,524.0,,,,,,,,,77.0,11.0
roszieg,61,16.0,20.0,52.0,62.0,58.0,79.0,92.0,37.0,,,,,,,,,,20.0,4.0
tonge,61,61.0,379.0,340.0,484.0,711.0,,,,,,,,,,,,,340.0,279.0
wee-mag,61,15.0,145.0,491.0,425.0,333.0,,,,,,,,,,,,,145.0,130.0
heskia,62,56.0,70.0,224.0,186.0,182.0,328.0,315.0,111.0,,,,,,,,,,70.0,14.0
roszieg,62,13.0,25.0,34.0,38.0,33.0,35.0,65.0,60.0,30.0,,,,,,,,,25.0,12.0
tonge,62,66.0,612.0,1028.0,742.0,927.0,,,,,,,,,,,,,612.0,546.0
wee-mag,62,18.0,101.0,392.0,389.0,286.0,,,,,,,,,,,,,101.0,83.0
heskia,71,91.0,193.0,329.0,205.0,582.0,156.0,263.0,245.0,,,,,,,,,,156.0,65.0
roszieg,71,15.0,30.0,51.0,46.0,46.0,48.0,67.0,49.0,65.0,,,,,,,,,30.0,15.0
tonge,71,54.0,389.0,524.0,1511.0,604.0,,,,,,,,,,,,,389.0,335.0
wee-mag,71,13.0,210.0,375.0,446.0,493.0,,,,,,,,,,,,,210.0,197.0
heskia,72,65.0,108.0,241.0,219.0,209.0,277.0,309.0,325.0,398.0,,533.0,245.0,235.0,,,,,108.0,43.0
roszieg,72,16.0,17.0,51.0,63.0,28.0,34.0,84.0,30.0,42.0,,55.0,55.0,28.0,57.0,42.0,,,17.0,1.0
tonge,72,57.0,733.0,1141.0,412.0,857.0,,,,,,,,,,,,,412.0,355.0
wee-mag,72,16.0,88.0,482.0,418.0,449.0,,,,,,,,,,,,,88.0,72.0
