Instance;Best_Seed;SI;SF;SO;Total_Time_s;Improvement_%;Gap_to_Optimal_%
11_hes;1;443.0;172.0;169.0;171.34;61.17;1.78
11_ros;7;50.0;31.0;30.0;60.91;38.00;3.33
11_ton;281;363.0;178.0;110.0;640.97;50.96;61.82
11_wee;223;955.0;67.0;29.0;703.00;92.98;131.03
12_hes;17;1024.0;107.0;107.0;157.45;89.55;0.00
12_ros;7;64.0;27.0;27.0;59.50;57.81;0.00
12_ton;557;465.0;182.0;108.0;677.02;60.86;68.52
12_wee;223;800.0;71.0;30.0;712.28;91.12;136.67
1_hes;17;1024.0;94.0;94.0;196.51;90.82;0.00
1_ros;31;25.0;20.0;20.0;55.38;20.00;0.00
1_ton;557;496.0;150.0;87.0;639.00;69.76;72.41
1_wee;97;279.0;79.0;25.0;649.41;71.68;216.00
2_hes;47;457.0;96.0;95.0;200.18;78.99;1.05
2_ros;42;118.0;23.0;22.0;57.94;80.51;4.55
2_ton;487;1178.0;138.0;87.0;619.67;88.29;58.62
2_wee;131;270.0;84.0;26.0;702.73;68.89;223.08
41_hes;1;160.0;41.0;35.0;275.22;74.38;17.14
41_ros;47;46.0;13.0;10.0;112.04;71.74;30.00
41_ton;281;594.0;133.0;28.0;623.80;77.61;375.00
41_wee;97;608.0;79.0;10.0;853.48;87.01;690.00
42_hes;202;302.0;46.0;40.0;330.26;84.77;15.00
42_ros;47;52.0;11.0;10.0;120.50;78.85;10.00
42_ton;131;492.0;105.0;32.0;645.97;78.66;228.12
42_wee;131;270.0;88.0;9.0;651.83;67.41;877.78
51_hes;7;256.0;57.0;51.0;372.98;77.73;11.76
51_ros;73;45.0;13.0;11.0;130.09;71.11;18.18
51_ton;97;503.0;79.0;35.0;689.09;84.29;125.71
51_wee;131;161.0;68.0;12.0;756.60;57.76;466.67
52_hes;0;269.0;55.0;50.0;346.87;79.55;10.00
52_ros;47;26.0;12.0;10.0;124.45;53.85;20.00
52_ton;197;504.0;106.0;43.0;657.18;78.97;146.51
52_wee;97;168.0;61.0;9.0;601.43;63.69;577.78
61_hes;42;979.0;77.0;66.0;433.80;92.13;16.67
61_ros;7;92.0;20.0;16.0;123.45;78.26;25.00
61_ton;223;873.0;338.0;61.0;602.12;61.28;454.10
61_wee;131;685.0;150.0;15.0;646.85;78.10;900.00
62_hes;42;621.0;70.0;56.0;415.97;88.73;25.00
62_ros;0;61.0;17.0;13.0;147.21;72.13;30.77
62_ton;97;1290.0;269.0;66.0;618.77;79.15;307.58
62_wee;223;625.0;105.0;18.0;770.13;83.20;483.33
71_hes;0;1039.0;91.0;91.0;268.48;91.24;0.00
71_ros;31;65.0;18.0;15.0;119.79;72.31;20.00
71_ton;131;1349.0;285.0;54.0;651.45;78.87;427.78
71_wee;197;373.0;88.0;18.0;735.88;76.41;388.89
72_hes;202;643.0;90.0;65.0;282.56;86.00;38.46
72_ros;101;118.0;16.0;16.0;109.64;86.44;0.00
72_ton;313;1157.0;254.0;57.0;667.01;78.05;345.61
72_wee;223;747.0;97.0;16.0;688.86;87.01;506.25
