instancia, num, valor_otimo, seed_42, seed_101, seed_202, seed_303, seed_404, melhor_valor, erro
heskia   ,  11,       169.0,   413.0,    219.0,    219.0,    346.0,    224.0,        219.0,  50.0
roszieg  ,  11,        30.0,    48.0,     90.0,     90.0,     48.0,     43.0,         43.0,  13.0
tonge    ,  11,       110.0,   190.0,    292.0,   1269.0,    184.0,    336.0,        184.0,  74.0
wee-mag  ,  11,        29.0,    83.0,    114.0,    121.0,    167.0,     84.0,         83.0,  54.0
heskia   ,  12,       107.0,   118.0,    204.0,    132.0,    179.0,    145.0,        118.0,  11.0
roszieg  ,  12,        27.0,    62.0,     87.0,     87.0,     48.0,     64.0,         48.0,  21.0
tonge    ,  12,       108.0,   285.0,    293.0,    429.0,    207.0,    286.0,        207.0,  99.0
wee-mag  ,  12,        30.0,   132.0,    109.0,    143.0,    200.0,    126.0,        109.0,  79.0
heskia   ,   1,        94.0,   141.0,    106.0,    128.0,    132.0,    156.0,        106.0,  12.0
roszieg  ,   1,        20.0,    43.0,     64.0,     27.0,     43.0,     20.0,         20.0,   0.0
tonge    ,   1,        87.0,   411.0,    175.0,    240.0,    160.0,    343.0,        160.0,  73.0
wee-mag  ,   1,        25.0,   208.0,    104.0,     85.0,    128.0,    173.0,         85.0,  60.0
heskia   ,   2,        95.0,   124.0,    124.0,    115.0,    114.0,    107.0,        107.0,  12.0
roszieg  ,   2,        22.0,    23.0,     65.0,     65.0,     23.0,     28.0,         23.0,   1.0
tonge    ,   2,        87.0,   236.0,    479.0,    328.0,    362.0,    242.0,        236.0, 149.0
wee-mag  ,   2,        26.0,   103.0,    146.0,    204.0,    181.0,    151.0,        103.0,  77.0
heskia   ,  41,        35.0,    91.0,     52.0,     91.0,     47.0,     62.0,         47.0,  12.0
roszieg  ,  41,        10.0,    20.0,     15.0,     31.0,     22.0,     15.0,         15.0,   5.0
tonge    ,  41,        28.0,   215.0,    155.0,    435.0,    228.0,    182.0,        155.0, 127.0
wee-mag  ,  41,         8.0,    91.0,    109.0,    191.0,    113.0,    115.0,         91.0,  83.0
heskia   ,  42,        40.0,    81.0,     99.0,     62.0,    117.0,    132.0,         62.0,  22.0
roszieg  ,  42,        10.0,    28.0,     26.0,     15.0,     16.0,     17.0,         15.0,   5.0
tonge    ,  42,        32.0,   534.0,    966.0,    101.0,    476.0,    217.0,        101.0,  69.0
wee-mag  ,  42,         8.0,   158.0,    181.0,    166.0,    146.0,    127.0,        127.0, 119.0
heskia   ,  51,        51.0,    65.0,     82.0,     81.0,    110.0,     71.0,         65.0,  14.0
roszieg  ,  51,        11.0,    18.0,     21.0,     19.0,     15.0,     12.0,         12.0,   1.0
tonge    ,  51,        35.0,   152.0,    201.0,    176.0,   1426.0,    237.0,        152.0, 117.0
wee-mag  ,  51,        10.0,   104.0,     77.0,    148.0,     91.0,    155.0,         77.0,  67.0
heskia   ,  52,        50.0,   150.0,     69.0,     92.0,     71.0,    123.0,         69.0,  19.0
roszieg  ,  52,        10.0,    53.0,     12.0,     25.0,     13.0,     25.0,         12.0,   2.0
tonge    ,  52,        43.0,   233.0,    192.0,    125.0,    438.0,    561.0,        125.0,  82.0
wee-mag  ,  52,         9.0,    82.0,     98.0,     99.0,    125.0,    114.0,         82.0,  73.0
heskia   ,  61,        66.0,   129.0,    141.0,    236.0,    150.0,    236.0,        129.0,  63.0
roszieg  ,  61,        16.0,    20.0,     41.0,     39.0,     48.0,     48.0,         20.0,   4.0
tonge    ,  61,        61.0,   514.0,    326.0,    318.0,    339.0,    398.0,        318.0, 257.0
wee-mag  ,  61,        15.0,   177.0,    213.0,    256.0,    191.0,    211.0,        177.0, 162.0
heskia   ,  62,        56.0,   106.0,     91.0,    103.0,    101.0,    101.0,         91.0,  35.0
roszieg  ,  62,        13.0,    25.0,     23.0,     35.0,     23.0,     35.0,         23.0,  10.0
tonge    ,  62,        66.0,   612.0,    603.0,    658.0,    878.0,    311.0,        311.0, 245.0
wee-mag  ,  62,        18.0,   174.0,    201.0,    206.0,    139.0,    158.0,        139.0, 121.0
heskia   ,  71,        91.0,   197.0,    122.0,    115.0,    162.0,    116.0,        115.0,  24.0
roszieg  ,  71,        15.0,    30.0,     51.0,     34.0,     30.0,     29.0,         29.0,  14.0
tonge    ,  71,        54.0,   397.0,    460.0,    906.0,    555.0,    460.0,        397.0, 343.0
wee-mag  ,  71,        13.0,   329.0,    204.0,    175.0,    392.0,    273.0,        175.0, 162.0
heskia   ,  72,        65.0,   111.0,    111.0,     97.0,    146.0,     92.0,         92.0,  27.0
roszieg  ,  72,        16.0,    17.0,     30.0,     30.0,     17.0,     26.0,         17.0,   1.0
tonge    ,  72,        57.0,   733.0,    955.0,    245.0,    375.0,    375.0,        245.0, 188.0
wee-mag  ,  72,        16.0,   152.0,    229.0,    244.0,    252.0,    202.0,        152.0, 136.0
