Instance;Replication;Seed;SI;SF;Time_s
10_ros;2;101;125.0;44.0;0.1867
10_ros;3;202;125.0;28.0;0.1809
10_ros;1;42;65.0;26.0;0.1952
10_ros;5;404;65.0;25.0;0.1460
10_hes;2;101;1024.0;383.0;0.3506
10_ros;4;303;62.0;26.0;0.2661
11_hes;2;101;1024.0;219.0;0.2342
10_hes;1;42;233.0;172.0;0.4367
10_hes;5;404;233.0;142.0;0.4829
10_hes;3;202;1024.0;160.0;0.6599
11_ros;1;42;48.0;48.0;0.1435
11_ros;3;202;125.0;90.0;0.1114
11_ros;4;303;48.0;48.0;0.0868
10_hes;4;303;259.0;158.0;0.5809
11_hes;3;202;1024.0;219.0;0.2781
11_hes;1;42;413.0;413.0;0.4883
11_hes;4;303;346.0;346.0;0.3353
11_ros;2;101;125.0;90.0;0.2486
11_hes;5;404;302.0;224.0;0.4926
11_ros;5;404;46.0;43.0;0.2887
10_ton;5;404;888.0;606.0;2.6836
12_hes;2;101;1024.0;204.0;1.0236
12_hes;1;42;208.0;118.0;1.2671
10_ton;2;101;474.0;252.0;3.6217
10_ton;1;42;489.0;192.0;4.0505
11_ton;5;404;1333.0;336.0;3.1713
11_ton;2;101;1481.0;292.0;3.4057
10_ton;4;303;1101.0;504.0;4.3796
10_ton;3;202;888.0;627.0;4.4088
12_hes;5;404;208.0;145.0;0.5144
12_ros;5;404;64.0;64.0;0.1356
