Instance;Replication;Seed;SI;SF;Time_s
11_ros;1;42;48.0;48.0;0.1699
11_ros;3;202;125.0;90.0;0.1791
11_ros;5;404;46.0;43.0;0.1600
11_ros;2;101;125.0;90.0;0.2499
11_hes;5;404;302.0;224.0;0.3217
11_hes;1;42;413.0;413.0;0.3047
11_hes;4;303;346.0;346.0;0.3376
11_hes;2;101;1024.0;219.0;0.4062
12_hes;2;101;1024.0;204.0;0.3335
11_ros;4;303;48.0;48.0;0.3784
11_hes;3;202;1024.0;219.0;0.5399
12_ros;1;42;78.0;62.0;0.1170
12_ros;4;303;48.0;48.0;0.2129
12_ros;2;101;125.0;87.0;0.1917
12_ros;3;202;125.0;87.0;0.1956
12_hes;3;202;1024.0;132.0;0.3861
12_hes;4;303;497.0;179.0;0.5073
12_hes;1;42;208.0;118.0;0.6884
12_hes;5;404;208.0;145.0;0.6209
12_ros;5;404;64.0;64.0;0.1095
1_hes;2;101;1024.0;106.0;0.8234
1_hes;1;42;559.0;141.0;0.5971
11_ton;2;101;1481.0;292.0;3.3315
11_ton;3;202;2726.0;1269.0;4.0243
1_hes;4;303;410.0;132.0;1.0667
1_hes;3;202;1024.0;128.0;0.8139
12_ton;1;42;429.0;285.0;3.6237
11_ton;5;404;1333.0;336.0;4.7740
1_ros;1;42;43.0;43.0;0.2063
1_ros;2;101;125.0;64.0;0.1849
1_hes;5;404;559.0;156.0;0.6576
1_ros;3;202;125.0;27.0;0.1660
12_ton;3;202;2718.0;429.0;4.4782
1_ros;4;303;43.0;43.0;0.1676
11_ton;1;42;464.0;190.0;5.6539
11_ton;4;303;338.0;184.0;5.7740
1_ros;5;404;25.0;20.0;0.2908
12_ton;4;303;540.0;207.0;4.9016
12_ton;2;101;500.0;293.0;5.5074
12_ton;5;404;630.0;286.0;5.4350
2_hes;1;42;511.0;124.0;1.2016
2_hes;2;101;1024.0;124.0;1.0869
2_hes;4;303;352.0;114.0;0.7873
11_wee;3;202;250.0;121.0;8.9923
2_hes;3;202;1024.0;115.0;0.9650
2_ros;1;42;118.0;23.0;0.3201
2_ros;2;101;125.0;65.0;0.2815
11_wee;2;101;263.0;114.0;9.8642
1_ton;1;42;632.0;411.0;4.5782
2_ros;3;202;125.0;65.0;0.2891
2_ros;4;303;118.0;23.0;0.2782
2_hes;5;404;511.0;107.0;1.0654
12_wee;3;202;648.0;143.0;9.4063
2_ros;5;404;48.0;28.0;0.3627
11_wee;4;303;288.0;167.0;10.6506
11_wee;5;404;173.0;84.0;11.0627
12_wee;1;42;222.0;132.0;10.2308
12_wee;2;101;290.0;109.0;10.3525
1_ton;5;404;636.0;343.0;5.6929
12_wee;5;404;275.0;126.0;10.6521
11_wee;1;42;201.0;83.0;12.0628
1_ton;3;202;2368.0;240.0;6.3541
1_ton;2;101;677.0;175.0;7.1226
12_wee;4;303;388.0;200.0;11.4532
41_hes;1;42;401.0;91.0;1.0652
41_ros;1;42;36.0;20.0;0.5248
41_hes;3;202;401.0;91.0;1.3297
41_ros;2;101;109.0;15.0;0.5362
1_ton;4;303;652.0;160.0;7.9844
41_hes;2;101;455.0;52.0;1.5379
41_hes;4;303;160.0;47.0;1.8632
41_ros;3;202;50.0;31.0;0.4025
41_ros;4;303;30.0;22.0;0.4118
41_ros;5;404;50.0;15.0;0.6541
41_hes;5;404;401.0;62.0;1.9472
2_ton;2;101;734.0;479.0;5.3994
2_ton;3;202;2234.0;328.0;5.6589
2_ton;5;404;385.0;242.0;5.4264
2_ton;4;303;651.0;362.0;6.3429
2_ton;1;42;420.0;236.0;6.8471
42_hes;1;42;302.0;81.0;1.8860
42_hes;2;101;502.0;99.0;1.7421
